country,date_td,new_cases,new_deaths,people_vaccinated,people_fully_vaccinated,first_dose,second_dose,apprvl_vaccine,days_apprvl,rNumbertype,r_median,r_mean,r_sd,r_lower_90,r_lower_50,r_lower_20,r_upper_20,r_upper_50,r_upper_90
United Kingdom,31jan2020,2,,,,,,,,,,,,,,,,,
United Kingdom,01feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,02feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,03feb2020,6,,,,,,,,,,,,,,,,,
United Kingdom,04feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,05feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,06feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,07feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,08feb2020,4,,,,,,,,,,,,,,,,,
United Kingdom,09feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,10feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,11feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,12feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,13feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,14feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,15feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,16feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,17feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,18feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,19feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,20feb2020,2,,,,,,,,,,,,,,,,,
United Kingdom,21feb2020,1,,,,,,,,,,,,,,,,,
United Kingdom,22feb2020,0,,,,,,,,,,,,,,,,,
United Kingdom,23feb2020,5,,,,,,,,,,,,,,,,,
United Kingdom,24feb2020,2,,,,,,,,,,,,,,,,,
United Kingdom,25feb2020,4,,,,,,,,,,,,,,,,,
United Kingdom,26feb2020,3,,,,,,,,,,,,,,,,,
United Kingdom,27feb2020,7,,,,,,,,,,,,,,,,,
United Kingdom,28feb2020,12,,,,,,,,,,,,,,,,,
United Kingdom,29feb2020,5,,,,,,,,,,,,,,,,,
United Kingdom,01mar2020,33,,,,,,,,,,,,,,,,,
United Kingdom,02mar2020,40,,,,,,,,,,,,,,,,,
United Kingdom,03mar2020,55,,,,,,,,,,,,,,,,,
United Kingdom,04mar2020,57,,,,,,,,,,,,,,,,,
United Kingdom,05mar2020,49,,,,,,,,,,,,,,,,,
United Kingdom,06mar2020,79,1,,,,,,,,,,,,,,,,
United Kingdom,07mar2020,55,1,,,,,,,,,,,,,,,,
United Kingdom,08mar2020,54,0,,,,,,,,,,,,,,,,
United Kingdom,09mar2020,147,1,,,,,,,,,,,,,,,,
United Kingdom,10mar2020,259,4,,,,,,,,,,,,,,,,
United Kingdom,11mar2020,412,0,,,,,,,,,,,,,,,,
United Kingdom,12mar2020,489,2,,,,,,,,,,,,,,,,
United Kingdom,13mar2020,480,1,,,,,,,,,,,,,,,,
United Kingdom,14mar2020,364,19,,,,,,,,,,,,,,,,
United Kingdom,15mar2020,443,14,,,,,,,,,,,,,,,,
United Kingdom,16mar2020,615,23,,,,,,,,,,,,,,,,
United Kingdom,17mar2020,770,17,,,,,,,,,,,,,,,,
United Kingdom,18mar2020,1005,34,,,,,,,,,,,,,,,,
United Kingdom,19mar2020,1066,46,,,,,,,,,,,,,,,,
United Kingdom,20mar2020,1258,32,,,,,,,,,,,,,,,,
United Kingdom,21mar2020,1215,58,,,,,,,,,,,,,,,,
United Kingdom,22mar2020,1389,36,,,,,,,,,,,,,,,,
United Kingdom,23mar2020,2349,76,,,,,,,,,,,,,,,,
United Kingdom,24mar2020,2382,148,,,,,,,,,,,,,,,,
United Kingdom,25mar2020,2717,191,,,,,,,,,,,,,,,,
United Kingdom,26mar2020,3127,182,,,,,,,,,,,,,,,,
United Kingdom,27mar2020,3249,288,,,,,,,,,,,,,,,,
